nohup: ignoring input
pybullet build time: May 20 2022 19:44:17
Iteration 1 took 4.60 seconds (mean sampled reward: -913.36). Current reward after update: -651.56, Optimal reward -651.56
Iteration 2 took 4.55 seconds (mean sampled reward: -904.07). Current reward after update: -716.48, Optimal reward -651.56
Iteration 3 took 4.67 seconds (mean sampled reward: -858.21). Current reward after update: -626.80, Optimal reward -626.80
Iteration 4 took 4.57 seconds (mean sampled reward: -866.80). Current reward after update: -695.28, Optimal reward -626.80
Iteration 5 took 4.53 seconds (mean sampled reward: -956.20). Current reward after update: -382.49, Optimal reward -382.49
Iteration 6 took 4.52 seconds (mean sampled reward: -861.64). Current reward after update: -489.25, Optimal reward -382.49
Iteration 7 took 4.53 seconds (mean sampled reward: -869.71). Current reward after update: -571.28, Optimal reward -382.49
Iteration 8 took 4.48 seconds (mean sampled reward: -830.18). Current reward after update: -403.73, Optimal reward -382.49
Iteration 9 took 4.53 seconds (mean sampled reward: -939.74). Current reward after update: -470.22, Optimal reward -382.49
Iteration 10 took 4.46 seconds (mean sampled reward: -908.37). Current reward after update: -393.28, Optimal reward -382.49
Iteration 11 took 4.48 seconds (mean sampled reward: -885.50). Current reward after update: -404.54, Optimal reward -382.49
Iteration 12 took 4.54 seconds (mean sampled reward: -866.69). Current reward after update: -394.99, Optimal reward -382.49
Iteration 13 took 4.71 seconds (mean sampled reward: -894.47). Current reward after update: -340.54, Optimal reward -340.54
Iteration 14 took 4.43 seconds (mean sampled reward: -829.94). Current reward after update: -294.31, Optimal reward -294.31
Iteration 15 took 4.53 seconds (mean sampled reward: -818.62). Current reward after update: -330.12, Optimal reward -294.31
Iteration 16 took 4.44 seconds (mean sampled reward: -828.16). Current reward after update: -309.15, Optimal reward -294.31
Iteration 17 took 4.45 seconds (mean sampled reward: -851.07). Current reward after update: -357.73, Optimal reward -294.31
Iteration 18 took 4.46 seconds (mean sampled reward: -843.07). Current reward after update: -325.67, Optimal reward -294.31
Iteration 19 took 4.47 seconds (mean sampled reward: -837.86). Current reward after update: -306.63, Optimal reward -294.31
Iteration 20 took 4.49 seconds (mean sampled reward: -847.06). Current reward after update: -318.22, Optimal reward -294.31
Iteration 21 took 4.42 seconds (mean sampled reward: -835.70). Current reward after update: -324.62, Optimal reward -294.31
Iteration 22 took 4.52 seconds (mean sampled reward: -846.80). Current reward after update: -324.43, Optimal reward -294.31
Iteration 23 took 4.56 seconds (mean sampled reward: -879.13). Current reward after update: -327.52, Optimal reward -294.31
Iteration 24 took 4.61 seconds (mean sampled reward: -890.84). Current reward after update: -327.72, Optimal reward -294.31
Iteration 25 took 4.54 seconds (mean sampled reward: -861.44). Current reward after update: -322.61, Optimal reward -294.31
Iteration 26 took 4.51 seconds (mean sampled reward: -810.39). Current reward after update: -308.72, Optimal reward -294.31
Iteration 27 took 4.51 seconds (mean sampled reward: -810.84). Current reward after update: -299.64, Optimal reward -294.31
Iteration 28 took 4.50 seconds (mean sampled reward: -903.64). Current reward after update: -316.20, Optimal reward -294.31
Iteration 29 took 4.54 seconds (mean sampled reward: -875.13). Current reward after update: -317.40, Optimal reward -294.31
Iteration 30 took 4.38 seconds (mean sampled reward: -909.64). Current reward after update: -323.39, Optimal reward -294.31
Iteration 31 took 4.39 seconds (mean sampled reward: -905.97). Current reward after update: -319.17, Optimal reward -294.31
Iteration 32 took 4.50 seconds (mean sampled reward: -958.65). Current reward after update: -330.85, Optimal reward -294.31
Iteration 33 took 4.46 seconds (mean sampled reward: -873.93). Current reward after update: -377.59, Optimal reward -294.31
Iteration 34 took 4.48 seconds (mean sampled reward: -896.17). Current reward after update: -347.24, Optimal reward -294.31
Iteration 35 took 4.44 seconds (mean sampled reward: -955.42). Current reward after update: -385.83, Optimal reward -294.31
Iteration 36 took 4.49 seconds (mean sampled reward: -932.85). Current reward after update: -362.56, Optimal reward -294.31
Iteration 37 took 4.47 seconds (mean sampled reward: -855.71). Current reward after update: -365.24, Optimal reward -294.31
Iteration 38 took 4.49 seconds (mean sampled reward: -843.87). Current reward after update: -343.02, Optimal reward -294.31
Iteration 39 took 4.50 seconds (mean sampled reward: -846.14). Current reward after update: -289.24, Optimal reward -289.24
Iteration 40 took 4.57 seconds (mean sampled reward: -855.64). Current reward after update: -325.41, Optimal reward -289.24
Iteration 41 took 4.49 seconds (mean sampled reward: -873.22). Current reward after update: -348.35, Optimal reward -289.24
Iteration 42 took 4.56 seconds (mean sampled reward: -862.48). Current reward after update: -362.92, Optimal reward -289.24
Iteration 43 took 4.48 seconds (mean sampled reward: -853.91). Current reward after update: -371.69, Optimal reward -289.24
Iteration 44 took 4.55 seconds (mean sampled reward: -850.33). Current reward after update: -355.49, Optimal reward -289.24
Iteration 45 took 4.44 seconds (mean sampled reward: -860.81). Current reward after update: -342.02, Optimal reward -289.24
Iteration 46 took 4.50 seconds (mean sampled reward: -832.37). Current reward after update: -305.42, Optimal reward -289.24
Iteration 47 took 4.47 seconds (mean sampled reward: -799.91). Current reward after update: -286.53, Optimal reward -286.53
Iteration 48 took 4.45 seconds (mean sampled reward: -797.51). Current reward after update: -289.61, Optimal reward -286.53
Iteration 49 took 4.56 seconds (mean sampled reward: -795.00). Current reward after update: -275.42, Optimal reward -275.42
Iteration 50 took 4.46 seconds (mean sampled reward: -866.03). Current reward after update: -315.48, Optimal reward -275.42
Iteration 51 took 4.50 seconds (mean sampled reward: -804.46). Current reward after update: -290.71, Optimal reward -275.42
Iteration 52 took 4.55 seconds (mean sampled reward: -802.50). Current reward after update: -267.61, Optimal reward -267.61
Iteration 53 took 4.54 seconds (mean sampled reward: -832.82). Current reward after update: -288.37, Optimal reward -267.61
Iteration 54 took 4.53 seconds (mean sampled reward: -820.34). Current reward after update: -280.07, Optimal reward -267.61
Iteration 55 took 4.54 seconds (mean sampled reward: -796.31). Current reward after update: -263.91, Optimal reward -263.91
Iteration 56 took 4.37 seconds (mean sampled reward: -804.13). Current reward after update: -260.00, Optimal reward -260.00
Iteration 57 took 4.49 seconds (mean sampled reward: -791.46). Current reward after update: -309.33, Optimal reward -260.00
Iteration 58 took 4.45 seconds (mean sampled reward: -793.25). Current reward after update: -278.46, Optimal reward -260.00
Iteration 59 took 4.51 seconds (mean sampled reward: -793.16). Current reward after update: -265.00, Optimal reward -260.00
Iteration 60 took 4.49 seconds (mean sampled reward: -790.92). Current reward after update: -257.73, Optimal reward -257.73
Iteration 61 took 4.40 seconds (mean sampled reward: -871.80). Current reward after update: -277.81, Optimal reward -257.73
Iteration 62 took 4.50 seconds (mean sampled reward: -883.21). Current reward after update: -286.14, Optimal reward -257.73
Iteration 63 took 4.53 seconds (mean sampled reward: -803.33). Current reward after update: -261.37, Optimal reward -257.73
Iteration 64 took 4.49 seconds (mean sampled reward: -902.73). Current reward after update: -268.01, Optimal reward -257.73
Iteration 65 took 4.56 seconds (mean sampled reward: -953.84). Current reward after update: -273.12, Optimal reward -257.73
Iteration 66 took 4.53 seconds (mean sampled reward: -877.48). Current reward after update: -247.94, Optimal reward -247.94
Iteration 67 took 4.44 seconds (mean sampled reward: -876.86). Current reward after update: -265.53, Optimal reward -247.94
Iteration 68 took 4.43 seconds (mean sampled reward: -902.61). Current reward after update: -265.27, Optimal reward -247.94
Iteration 69 took 4.36 seconds (mean sampled reward: -848.37). Current reward after update: -260.70, Optimal reward -247.94
Iteration 70 took 4.50 seconds (mean sampled reward: -813.04). Current reward after update: -249.06, Optimal reward -247.94
Iteration 71 took 4.46 seconds (mean sampled reward: -948.25). Current reward after update: -304.05, Optimal reward -247.94
Iteration 72 took 4.52 seconds (mean sampled reward: -860.54). Current reward after update: -265.00, Optimal reward -247.94
