nohup: ignoring input
pybullet build time: May 20 2022 19:44:17
Iteration 1 took 4.88 seconds (mean sampled reward: -870.40). Current reward after update: -704.16, Optimal reward -704.16
Iteration 2 took 4.59 seconds (mean sampled reward: -871.29). Current reward after update: -677.46, Optimal reward -677.46
Iteration 3 took 4.60 seconds (mean sampled reward: -902.22). Current reward after update: -718.06, Optimal reward -677.46
Iteration 4 took 4.54 seconds (mean sampled reward: -876.93). Current reward after update: -604.10, Optimal reward -604.10
Iteration 5 took 4.64 seconds (mean sampled reward: -909.64). Current reward after update: -604.78, Optimal reward -604.10
Iteration 6 took 4.70 seconds (mean sampled reward: -882.81). Current reward after update: -645.25, Optimal reward -604.10
Iteration 7 took 4.73 seconds (mean sampled reward: -897.94). Current reward after update: -587.21, Optimal reward -587.21
Iteration 8 took 4.71 seconds (mean sampled reward: -874.57). Current reward after update: -652.49, Optimal reward -587.21
Iteration 9 took 4.76 seconds (mean sampled reward: -861.21). Current reward after update: -793.20, Optimal reward -587.21
Iteration 10 took 4.69 seconds (mean sampled reward: -872.47). Current reward after update: -601.78, Optimal reward -587.21
Iteration 11 took 4.69 seconds (mean sampled reward: -863.38). Current reward after update: -594.38, Optimal reward -587.21
Iteration 12 took 4.74 seconds (mean sampled reward: -843.66). Current reward after update: -628.06, Optimal reward -587.21
Iteration 13 took 4.65 seconds (mean sampled reward: -886.04). Current reward after update: -608.41, Optimal reward -587.21
Iteration 14 took 4.79 seconds (mean sampled reward: -885.18). Current reward after update: -528.62, Optimal reward -528.62
Iteration 15 took 4.73 seconds (mean sampled reward: -891.33). Current reward after update: -617.76, Optimal reward -528.62
Iteration 16 took 4.71 seconds (mean sampled reward: -855.44). Current reward after update: -557.66, Optimal reward -528.62
Iteration 17 took 4.63 seconds (mean sampled reward: -851.75). Current reward after update: -551.14, Optimal reward -528.62
Iteration 18 took 4.50 seconds (mean sampled reward: -807.83). Current reward after update: -533.04, Optimal reward -528.62
Iteration 19 took 4.53 seconds (mean sampled reward: -820.06). Current reward after update: -532.32, Optimal reward -528.62
Iteration 20 took 4.51 seconds (mean sampled reward: -845.75). Current reward after update: -513.67, Optimal reward -513.67
Iteration 21 took 4.56 seconds (mean sampled reward: -847.27). Current reward after update: -522.01, Optimal reward -513.67
Iteration 22 took 4.60 seconds (mean sampled reward: -856.62). Current reward after update: -570.13, Optimal reward -513.67
Iteration 23 took 4.50 seconds (mean sampled reward: -885.28). Current reward after update: -625.91, Optimal reward -513.67
Iteration 24 took 4.48 seconds (mean sampled reward: -875.82). Current reward after update: -627.83, Optimal reward -513.67
Iteration 25 took 4.50 seconds (mean sampled reward: -875.70). Current reward after update: -965.12, Optimal reward -513.67
Iteration 26 took 4.53 seconds (mean sampled reward: -872.74). Current reward after update: -483.51, Optimal reward -483.51
Iteration 27 took 4.52 seconds (mean sampled reward: -842.55). Current reward after update: -596.34, Optimal reward -483.51
Iteration 28 took 4.52 seconds (mean sampled reward: -812.05). Current reward after update: -550.64, Optimal reward -483.51
Iteration 29 took 4.56 seconds (mean sampled reward: -843.14). Current reward after update: -570.72, Optimal reward -483.51
Iteration 30 took 4.60 seconds (mean sampled reward: -829.39). Current reward after update: -550.77, Optimal reward -483.51
Iteration 31 took 4.72 seconds (mean sampled reward: -861.29). Current reward after update: -503.31, Optimal reward -483.51
Iteration 32 took 4.76 seconds (mean sampled reward: -840.77). Current reward after update: -424.33, Optimal reward -424.33
Iteration 33 took 4.83 seconds (mean sampled reward: -860.74). Current reward after update: -475.29, Optimal reward -424.33
Iteration 34 took 4.61 seconds (mean sampled reward: -856.85). Current reward after update: -458.88, Optimal reward -424.33
Iteration 35 took 4.78 seconds (mean sampled reward: -852.42). Current reward after update: -476.88, Optimal reward -424.33
Iteration 36 took 4.40 seconds (mean sampled reward: -884.01). Current reward after update: -449.79, Optimal reward -424.33
Iteration 37 took 4.41 seconds (mean sampled reward: -890.49). Current reward after update: -487.75, Optimal reward -424.33
Iteration 38 took 4.37 seconds (mean sampled reward: -854.65). Current reward after update: -476.53, Optimal reward -424.33
Iteration 39 took 4.52 seconds (mean sampled reward: -817.75). Current reward after update: -452.13, Optimal reward -424.33
Iteration 40 took 4.53 seconds (mean sampled reward: -824.71). Current reward after update: -462.32, Optimal reward -424.33
Iteration 41 took 4.54 seconds (mean sampled reward: -822.43). Current reward after update: -425.73, Optimal reward -424.33
